"STATION","NAME","DATE","HLY-CLDH-NORMAL","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-HTDH-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T05:00:00","-777.7","12.9","44.1","28.5","39.5","25.5","30.0","48.9","39.5","33.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T06:00:00","-777.7","12.0","44.1","28.4","39.2","25.8","30.0","48.9","39.2","32.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T07:00:00","-777.7","12.0","44.1","28.6","39.7","25.3","30.0","50.0","39.7","33.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T08:00:00","-777.7","12.0","44.1","28.5","40.9","24.1","30.9","52.0","40.9","34.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T09:00:00","0.1","10.9","44.1","28.4","42.5","22.6","32.0","54.0","42.5","36.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T10:00:00","0.1","12.0","44.1","28.3","44.1","21.0","33.1","55.9","44.1","38.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T11:00:00","0.2","12.0","44.1","28.3","45.7","19.5","35.1","59.0","45.7","40.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T12:00:00","0.3","12.0","45.0","28.3","47.1","18.2","37.0","60.1","47.1","42.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T13:00:00","0.3","12.0","45.0","28.3","48.2","17.1","37.4","61.0","48.2","43.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T14:00:00","0.4","12.0","46.0","28.3","49.0","16.4","37.9","62.1","49.0","44.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T15:00:00","0.4","12.0","46.0","28.4","49.2","16.1","37.9","62.1","49.2","45.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T16:00:00","0.4","12.0","45.0","28.6","49.1","16.2","37.9","61.0","49.1","44.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T17:00:00","0.2","12.0","46.0","28.9","48.2","17.0","37.9","60.1","48.2","43.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T18:00:00","0.2","12.9","45.0","29.1","47.0","18.2","37.0","59.0","47.0","42.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T19:00:00","0.1","12.0","45.0","29.3","45.9","19.3","36.0","55.9","45.9","40.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T20:00:00","0.1","12.9","45.0","29.6","45.2","19.9","35.1","55.0","45.2","39.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T21:00:00","0.1","12.9","45.0","29.5","44.4","20.7","35.1","54.0","44.4","38.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T22:00:00","0.1","12.0","45.0","29.3","43.8","21.3","34.0","54.0","43.8","38.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-22T23:00:00","-777.7","12.0","45.0","29.3","43.1","21.9","34.0","53.1","43.1","37.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T00:00:00","-777.7","12.9","45.0","29.7","42.3","22.7","33.1","52.0","42.3","36.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T01:00:00","-777.7","12.0","45.0","29.2","41.7","23.3","32.0","52.0","41.7","35.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T02:00:00","-777.7","12.0","45.0","29.1","41.2","23.8","30.9","51.1","41.2","35.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T03:00:00","-777.7","12.0","44.1","29.0","40.7","24.4","30.9","50.0","40.7","34.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T04:00:00","-777.7","12.9","44.1","28.9","40.2","24.8","30.9","50.0","40.2","34.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T05:00:00","-777.7","12.9","44.1","28.8","39.8","25.2","30.0","48.9","39.8","33.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T06:00:00","-777.7","12.0","44.1","28.8","39.5","25.5","30.0","48.9","39.5","33.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T07:00:00","-777.7","12.0","44.1","28.8","40.0","25.0","30.0","50.0","40.0","33.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T08:00:00","-777.7","12.0","44.1","28.7","41.3","23.8","30.9","53.1","41.3","34.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T09:00:00","0.1","10.9","44.1","28.7","42.8","22.3","32.0","55.0","42.8","36.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T10:00:00","0.1","12.0","44.1","28.5","44.4","20.7","33.1","57.0","44.4","38.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T11:00:00","0.2","12.0","44.1","28.4","46.0","19.2","35.1","59.0","46.0","40.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T12:00:00","0.3","12.0","45.0","28.4","47.4","17.9","37.0","61.0","47.4","42.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T13:00:00","0.4","12.0","45.0","28.4","48.5","16.9","37.9","62.1","48.5","43.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T14:00:00","0.4","12.0","45.0","28.5","49.2","16.2","37.9","62.1","49.2","44.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T15:00:00","0.4","12.0","46.0","28.6","49.5","15.9","39.0","63.0","49.5","45.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T16:00:00","0.4","12.0","45.0","28.8","49.3","16.1","37.9","62.1","49.3","45.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T17:00:00","0.3","12.0","46.0","29.1","48.5","16.8","37.9","60.1","48.5","43.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T18:00:00","0.2","12.9","45.0","29.3","47.3","17.9","37.0","59.0","47.3","42.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T19:00:00","0.1","12.9","45.0","29.6","46.2","19.0","36.0","57.0","46.2","40.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T20:00:00","0.1","14.0","45.0","29.9","45.5","19.6","36.0","55.9","45.5","40.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T21:00:00","0.1","12.9","45.0","29.9","44.7","20.4","35.1","55.0","44.7","39.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T22:00:00","0.1","12.9","45.0","29.7","44.1","21.0","35.1","55.0","44.1","38.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-23T23:00:00","-777.7","12.9","45.0","29.7","43.5","21.6","34.0","53.1","43.5","37.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T00:00:00","0.1","12.9","45.0","30.1","42.7","22.4","33.8","53.1","42.7","36.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T01:00:00","-777.7","12.0","45.0","29.6","42.2","22.9","33.1","52.0","42.2","36.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T02:00:00","-777.7","12.0","45.0","29.5","41.6","23.4","32.0","51.1","41.6","35.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T03:00:00","-777.7","12.0","44.1","29.5","41.1","23.9","32.0","51.1","41.1","35.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T04:00:00","-777.7","12.9","44.1","29.4","40.6","24.4","30.9","51.1","40.6","34.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T05:00:00","-777.7","12.9","44.1","29.3","40.2","24.8","30.9","50.0","40.2","34.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T06:00:00","-777.7","12.9","44.1","29.3","39.9","25.1","30.0","50.0","39.9","33.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T07:00:00","-777.7","12.0","44.1","29.3","40.4","24.6","30.0","51.1","40.4","34.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T08:00:00","-777.7","12.0","44.1","29.2","41.7","23.3","30.9","53.1","41.7","35.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T09:00:00","0.1","10.9","44.1","29.1","43.2","21.8","33.1","55.9","43.2","37.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T10:00:00","0.1","12.0","44.1","28.9","44.8","20.3","34.0","57.9","44.8","39.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T11:00:00","0.2","12.0","45.0","28.9","46.4","18.8","35.1","60.1","46.4","41.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T12:00:00","0.3","12.0","45.0","28.9","47.7","17.6","37.0","61.0","47.7","43.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T13:00:00","0.4","12.0","45.0","28.9","48.9","16.5","37.9","63.0","48.9","44.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T14:00:00","0.5","12.9","45.0","29.0","49.6","15.8","39.0","63.0","49.6","45.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T15:00:00","0.5","12.9","46.0","29.1","49.9","15.5","39.0","64.0","49.9","46.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T16:00:00","0.4","12.0","45.0","29.3","49.8","15.7","39.0","62.1","49.8","45.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T17:00:00","0.3","12.9","46.0","29.7","48.9","16.4","37.9","61.0","48.9","44.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T18:00:00","0.2","12.9","46.0","29.9","47.7","17.5","37.9","59.0","47.7","43.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T19:00:00","0.2","14.0","45.0","30.2","46.6","18.5","37.0","57.0","46.6","41.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T20:00:00","0.1","15.1","46.0","30.5","45.9","19.2","36.0","55.9","45.9","40.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T21:00:00","0.1","14.0","45.0","30.5","45.2","19.9","36.0","55.0","45.2","39.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T22:00:00","0.1","14.0","45.0","30.3","44.6","20.5","36.0","55.9","44.6","39.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-24T23:00:00","0.1","14.0","45.0","30.4","43.9","21.1","35.1","54.0","43.9","38.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T00:00:00","0.1","15.1","45.0","30.6","43.1","22.0","34.0","53.1","43.1","37.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T01:00:00","-777.7","14.0","45.0","30.2","42.6","22.4","33.1","53.1","42.6","37.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T02:00:00","-777.7","12.9","45.0","30.1","42.1","23.0","33.1","52.0","42.1","36.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T03:00:00","-777.7","14.0","45.0","30.1","41.6","23.4","32.0","51.1","41.6","35.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T04:00:00","-777.7","12.9","45.0","30.0","41.1","23.9","32.0","51.1","41.1","35.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T05:00:00","-777.7","12.9","45.0","29.9","40.7","24.3","30.9","51.1","40.7","34.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T06:00:00","-777.7","12.9","45.0","29.8","40.4","24.6","30.9","50.0","40.4","34.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T07:00:00","-777.7","12.9","45.0","29.9","40.9","24.1","30.9","51.1","40.9","34.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T08:00:00","-777.7","12.9","45.0","29.8","42.2","22.8","32.0","54.0","42.2","36.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T09:00:00","0.1","12.0","44.1","29.7","43.7","21.3","33.1","55.9","43.7","37.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T10:00:00","0.1","12.0","45.0","29.5","45.3","19.8","35.1","57.9","45.3","39.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T11:00:00","0.2","12.0","45.0","29.5","46.9","18.4","36.0","60.1","46.9","42.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T12:00:00","0.3","12.0","45.0","29.5","48.2","17.2","37.0","62.1","48.2","43.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T13:00:00","0.4","12.9","45.0","29.5","49.3","16.1","39.0","63.0","49.3","45.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T14:00:00","0.5","12.9","45.0","29.6","50.0","15.5","39.0","63.0","50.0","46.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T15:00:00","0.5","12.9","46.0","29.7","50.3","15.2","39.9","63.0","50.3","46.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T16:00:00","0.4","12.9","46.0","29.9","50.1","15.3","39.9","62.1","50.1","46.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T17:00:00","0.3","12.9","46.0","30.2","49.2","16.1","39.9","61.0","49.2","45.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T18:00:00","0.2","12.9","46.0","30.5","48.1","17.2","39.0","59.0","48.1","43.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T19:00:00","0.2","14.0","45.0","30.8","47.0","18.2","37.9","57.0","47.0","42.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T20:00:00","0.1","15.1","46.0","31.0","46.2","18.9","37.0","55.9","46.2","41.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T21:00:00","0.1","16.0","45.0","31.0","45.5","19.6","37.0","55.9","45.5","40.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T22:00:00","0.1","15.1","45.3","30.9","44.9","20.2","36.0","55.9","44.9","39.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-25T23:00:00","0.1","14.0","46.0","31.0","44.3","20.7","35.1","54.1","44.3","39.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T00:00:00","0.1","15.1","45.0","31.0","43.4","21.6","34.0","53.1","43.4","37.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T01:00:00","-777.7","14.0","45.0","30.8","43.0","22.0","34.0","53.1","43.0","37.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T02:00:00","-777.7","14.0","45.0","30.7","42.5","22.5","34.0","52.0","42.5","36.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T03:00:00","-777.7","15.1","45.0","30.7","42.0","23.0","33.1","52.0","42.0","36.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T04:00:00","-777.7","14.0","45.0","30.6","41.5","23.5","33.1","51.1","41.5","35.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T05:00:00","-777.7","14.0","45.0","30.5","41.1","23.9","32.0","51.1","41.1","35.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T06:00:00","-777.7","14.0","45.0","30.4","40.9","24.2","30.9","50.0","40.9","34.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-26T07:00:00","-777.7","14.0","45.0","30.4","41.4","23.6","32.0","52.0","41.4","35.3"
